file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_TT00310_752.650-753.400,སྡིག་པའི་གནས་ཚུལ་ར་ཅིག ,sdig pa'i gnas tshul ra cig_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00310_752.650-753.400.wav,STT_TT,3,23,0.75,wav16k/STT_TT00310_752.650-753.400.wav,སྡིག་པའི་གནས་ཚུལ་འདྲ་ཅིག
STT_TT00314_1445.350-1448.650,ད་དྲགས་རོགས་བྱས་ན་བསམ་བསམ་གྱིས་བསམ་བློ་ཟོལ་འདྲ་འཁོར་བསྡད་ཡ་གི་ཟོལ་འདྲ་ཡོང་བསྡད་ཀི་ཡོད་རེད་བ། འོ་དེ་ཚོ་ཚུར་ ,da drags rogs byas na bsam bsam gyis bsam blo zol 'dra 'khor bsdad ya gi zol 'dra yong bsdad ki yod red ba/_'o de tsho tshur _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00314_1445.350-1448.650.wav,STT_TT,3,107,3.300000000000182,wav16k/STT_TT00314_1445.350-1448.650.wav,ད་གྲོལ་རོགས་བྱས་ན་བསམ་བསམ་གི་བསམ་བློ་ཟོ་འདྲས་འཁོར་སྡ་ཟོལ་འདྲས་ཡོང་བསྡད་ཀི་ཡོད་རེད་བ། ཨོ་དེ་ཚོ་ཚུར་ད་
STT_TT00313_629.850-634.000,དེ་ནས་གཅིག་ཡང་ཡོང་ཡ་མི་འདུག་གཱ། ཨེ་ནས་མ་ཟ་དགུ་ཟ་ཟ་གི་བསྡད་ན། ཨེ་ནས་མ་ན་དགུ་ན་གང་ག་ན་ཡོང་གི་འདུག་བ།  ,de nas gcig yang yong ya mi 'dug gA/_e nas ma za dgu za za gi bsdad na/_e nas ma na dgu na gang ga na yong gi 'dug ba/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00313_629.850-634.000.wav,STT_TT,3,100,4.149999999999977,wav16k/STT_TT00313_629.850-634.000.wav,དེ་ནི་ཅང་ཡོང་ཡ་མི་འདུག་ག། ཨེ་ནས་མ་ཟ་གོ་ས་ཟ་གི་བསྡད་ན། ཨེ་ནས་མ་ན་གོང་ན་གང་ག་ན་ཡོང་གི་འདུག་ག།
STT_NS_M0214_0137_1255162_to_1262773,དངོས་གནས་དེང་སང་སློབ་སྦྱོང་བྱེད་ཡ་འདུག་ག་འདི་སྒང་ལ། ད་དུང་ག་རེ་རེད་འབུམ་རམས་པ་འདི་སྒང་ལ་སློབ་སྦྱོང་བྱེད་ཡ་འདུག་ག། འབུམ་རམས་པ་འདི་འདྲ་སྤྱད་ཡ་འདུག་ག་འདི་སྒང་ལ།  ,dngos gnas deng sang slob sbyong byed ya 'dug ga 'di sgang la/_da dung ga re red 'bum rams pa 'di sgang la slob sbyong byed ya 'dug ga/_'bum rams pa 'di 'dra spyad ya 'dug ga 'di sgang la/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0214_0137_1255162_to_1262773.wav,STT_NS,3,159,7.611,wav16k/STT_NS_M0214_0137_1255162_to_1262773.wav,དངོས་གནས་དེང་སང་སློབ་སྦྱོང་བྱེད་ཡ་འདུག་ག འདིའི་སྒང་ལ་ད་དུང་ག་རེ་འབུམ་རམ་པ་འདིའི་སྒང་ལ་སློབ་སྦྱོང་བྱེད་ཡ་འདུག་ག འབུམ་རམ་པ་དེ་འདྲའི་བཅད་ཡ་འདུག་ག་འདིའི་སྒང་ལ།
STT_NS_M0229_0440_3552912_to_3555060,ད་ང་སྟོན་རྒྱོ་ཁོ་རང་དྲན་པ་གསོས་གི་མི་འདུག་རཱ། རྣམ་འགྱུར།  ,da nga ston rgyo kho rang dran pa gsos gi mi 'dug rA/_rnam 'gyur/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0229_0440_3552912_to_3555060.wav,STT_NS,3,58,2.148,wav16k/STT_NS_M0229_0440_3552912_to_3555060.wav,ད་ང་སྟོན་རྒྱོ་ཁོ་རང་དྲན་པ་གསོས་ཀི་མི་འདུག་རཱ། རྣམ་འགྱུར།
STT_TT00310_889.250-893.300,ཨེ་ནས་དེ་བ་རྒྱག་རེས་རྒྱག་གི་རེད། ག་རེ་རེད་ད་དེ་རིང་དེ་བ་དཔེ་གཅིག་ཟི་ལིང་བི་ལིང་འདྲ་ཞེ་བོ་བཞག་འདུག་བ། ད་ཨེ་འདྲས་མ་བྱེད་པ་བྱས།  ,e nas de ba rgyag res rgyag gi red/_ga re red da de ring de ba dpe gcig zi ling bi ling 'dra zhe bo bzhag 'dug ba/_da e 'dras ma byed pa byas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00310_889.250-893.300.wav,STT_TT,3,126,4.0499999999999545,wav16k/STT_TT00310_889.250-893.300.wav,ཨེ་ནས་དེ་བ་རྒྱག་རེས་རྒྱག་གི་རེད། ག་རེད། ད་དེ་རིང་དེ་བར་དཔེ་ཅིག་ཟི་ལིང་པུ་ལི་དྲ་ཞེ་བོ་བཞག་འདུག་བ། རྩ་ཨེ་འདྲས་ེ་མ་བྱས་བྱས།
STT_NS_M0324_0064_414642_to_417440,དགོང་དག་ཉལ་དུས་ཙམ་པ་ལ་ཡང་ད་ཆུ་ཚོད་ག་ཚོད་ལ་ཉལ་དགོས་འདུག་ལྟ་དགོས་རེད།  ,dgong dag nyal dus tsam pa la yang da chu tshod ga tshod la nyal dgos 'dug lta dgos red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0324_0064_414642_to_417440.wav,STT_NS,3,69,2.798,wav16k/STT_NS_M0324_0064_414642_to_417440.wav,དགོང་དག་ཉལ་དུས་ཙམ་པ་ལཡང་ད་ཆུ་ཚོད་ག་ཚོད་ལ་ཉལ་དགོས་འདུག་ལྟ་དགོས་རེད།
STT_NS_M0227_0237_2113745_to_2117994,ནམ་རྒྱུན་སློབ་སྦྱོང་ཡག་པོ་ཡོད་ནའི་རེད། ནམ་རྒྱུན་སློབ་སྦྱོང་བྱེད་མྱི་ཡིན་ནའི་རེད་མ་བྱེད་མྱི་ཡིན་པ་ཡིན་ནས།  ,nam rgyun slob sbyong yag po yod na'i red/_nam rgyun slob sbyong byed myi yin na'i red ma byed myi yin pa yin nas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0227_0237_2113745_to_2117994.wav,STT_NS,3,106,4.249,wav16k/STT_NS_M0227_0237_2113745_to_2117994.wav,ནམ་རྒྱུན་སློབ་སྦྱོང་ཡག་པོ་ཡོད་ནས་རེད། ནམ་རྒྱུན་སློབ་སྦྱོང་བྱེད་མྱི་ཡོན་ན་རེད། མ་བྱེད་མྱི་ཡིན་པ་ཡིན་ན།
STT_TT00315_1393.350-1395.200,དེ་ལས་ཁུངས་ནང་ལ་འདུག་སེ་རེད། རྒྱལ་ཁབ་ཕན་ཚུན་ལས་འདུག་སེ་ ,de las khungs nang la 'dug se red/_rgyal khab phan tshun las 'dug se _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00315_1393.350-1395.200.wav,STT_TT,3,56,1.8500000000001364,wav16k/STT_TT00315_1393.350-1395.200.wav,དེ་ལས་ཁུངས་ནང་ལ་ཡེ་འདུག་སེ་རེད། རྒྱལ་སྒོ་ཕན་ཚུན་ལ་ཡ་འདུག་སེ།
STT_TT00313_1045.050-1047.450,ཨེ་ནས་དེ་ཡར་ཡོང་ནས་དེ་སྐྱེལ་དེ་དེར་བཞག ཨེ་ནས་རྒྱུག་འགྲོ་ག་བྱས།  ,e nas de yar yong nas de skyel de der bzhag_e nas rgyug 'gro ga byas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00313_1045.050-1047.450.wav,STT_TT,3,64,2.400000000000091,wav16k/STT_TT00313_1045.050-1047.450.wav,ཨེ་ནས་དེ་ཡར་ཡོང་མྱི་དེ་སྐྱེས། དེ་དེར་བཞགཨེ་ནས་རྒྱུག་འགྲོ་ག་བྱེད།
